accommodation_type;author;author_type;deal_type;description;district;finish_type;floor;floors_count;heating_type;house_material_type;house_number;kitchen_meters;living_meters;location;object_type;phone;price;residential_complex;rooms_count;street;total_meters;underground;url;year_of_construction
flat;СМСС;developer;sale;"Продаётся 4-комнатная квартира в строящемся доме (Секция 1.1), срок сдачи: II-кв. 2028, общей площадью 112.4 кв.м., на 19 этаже. Новый жилой комплекс ""Паскаль"" от Группы компаний ""Сибмонтажспецстрой"" расположен в Октябрьском районе Новосибирска на ул. 4-я Кирпичная Горка.";Дзержинский;Черновая;19;22;-1;-1;;-1;-1;Новосибирск;-1;+79942525223;20456800;Паскаль;4; 5-я Кирпичная Горка;112.4;Березовая Роща;https://novosibirsk.cian.ru/sale/flat/325989278/?mlSearchSessionGuid=c26ec136d0c0c474a595d120400e3db6;2028
flat;Города Новосибирск;real_estate_agent;sale;"Код объекта: 1629248.
Уникальное предложение на рынке недвижимости Новосибирска! Великолепная четырёхкомнатная квартира в современном жилом комплексе на Ленинградской улице — идеальное место для жизни вашей семьи.

Квартира расположена на 26 этаже 29-этажного кирпично-монолитного дома, построенного в 2023 году. Общая площадь — 128,72 кв. м, из которых 110 кв. м — жилая площадь. Высота потолков — 3 метра, что создаёт ощущение простора и свободы.

Два раздельных и один совмещённый санузел обеспечивают удобство для всех членов семьи. На кухне площадью 36 кв. м хватит места для реализации самых смелых дизайнерских идей. В квартире выполнен white box ремонт, поэтому вы сможете обустроить пространство по своему вкусу.

Окна выходят на улицу, а лоджия позволяет наслаждаться видами и свежим воздухом. Подземный паркинг обеспечивает безопасность и удобство хранения автомобиля.

Не упустите шанс стать обладателем этой прекрасной квартиры! Позвоните нам прямо сейчас, чтобы узнать больше и записаться на просмотр.

Мы гарантируем безопасную сделку и юридическую поддержку нашим клиентам. Поможем одобрить ипотеку с сниженной ставкой.";Октябрьский;-1;26;29;-1;-1;77;36 м²;87 м²;Новосибирск;-1;+79831236186;32000000;Чикаго;4;Московская ;128.72;Октябрьская;https://novosibirsk.cian.ru/sale/flat/318545609/?mlSearchSessionGuid=c26ec136d0c0c474a595d120400e3db6;2023
flat;PRO Недвижимость;real_estate_agent;sale;"Продам 4к квартиру в престижном  доме.  
Предыдущими владельцами был выполнен дизайнерский ремонт.  
Один взрослый собственник.  
Без Долгов, детских долей или обременений.  
Возможность быстрого выхода на сделку.   
Все подробности по телефону.";Центральный;-1;7;9;-1;-1;4;15 м²;83 м²;Новосибирск;-1;+79833027992;19499000;;4; Крылова;138.0;Красный Проспект;https://novosibirsk.cian.ru/sale/flat/326417574/?mlSearchSessionGuid=c26ec136d0c0c474a595d120400e3db6;2004
flat;Новый Мир;developer;sale;"Дом сдан, приглашаем на экскурсию!

""Нобель"" на Красном проспекте в 2025 году стал победителем в номинации Жилая недвижимость. Бизнес-класс. Регионы (Urban Awards 2025), в 2024 признан Самым инвестиционно-привлекательным проектом УФО+СФО+ДФО (Urban Awards 2024).

Дом ""Нобель"" в Новосибирске спроектирован компанией ""Новый мир"" совместно с международной командой архитекторов из Великобритании, Италии и Сербии. Уникальность проекта, в том, что при строительстве здания в центральной локации города удалось сохранить более 200 деревьев ценных хвойных пород на территории комплекса. При этом в продукте было сформировано более 50 вариантов функциональных планировочных решений. И все это в великолепной архитектурной форме в стиле ар-деко. Общая площадь территории 2 гектара! Именно это позволило специалистам компании ""Новый мир"" спроектировать уникальный двор-парк с фонтаном и колоннадой.

Архитектура
Один из принципов нашей компании: сохранять все лучшее в каждой локации. Архитектурное окружение дома ""Нобель"" представлено сталинской неоклассикой, именно поэтому специалисты компании ""Новый мир"" выбрали стиль ар-деко, который называют наследником неоклассицизма и модернизма. ""Нобель"" — это архитектура, устремленная вверх. 5 башен с величественными шпилями, благородный фасад из натурального гранита, увеличенная площадь остекления с применением архитектурного стекла. И — чего не встретишь в других проектах, — роскошная гранитная прогулочная колоннада — второй уровень благоустройства.


Двор
Ландшафтный дизайн стилистически продолжает архитектурный замысел ар-деко: строгая закономерность, смелые линии, геометрические узоры, отсутствие ярких оттенков. Пространство двора-парка разделено на две части. Они отделены друг от друга колоннадой, по которой можно прогуливаться на высоте 10 метров и любоваться Красным проспектом. Зоны отдыха, игровые площадки, беседки соединены дорожками и создают один из узнаваемых узоров европейского стиля. Хвойные гиганты и фонтан добавляют особый шик.


Холлы
Семь парадных холлов дома ""Нобель"" облицованы широкоформатным итальянским керамогранитом. Мягкий свет, парящие потолки, дизайнерские люстры, бесшумные скоростные лифты, — каждый элемент создает атмосферу дорогого уюта и респектабельности. В доме предусмотрен консьерж-сервис для удобства жителей и гостей.


Отделка White Box
Квартиры дома Нобель сдаются в предчистовой отделке white box. Она сделана с той же тщательностью и вниманием к малейшим деталям, как и все другие работы по проекту. Квартиры полностью готовы к чистовой отделке.";Заельцовский;Предчистовая;22;23;-1;Монолитно-кирпичный;220;-1;-1;Новосибирск;-1;+79635613090;35850000;Нобель;4;Красный проспект;108.3;Заельцовская;https://novosibirsk.cian.ru/sale/flat/326925877/?mlSearchSessionGuid=c26ec136d0c0c474a595d120400e3db6;2024
flat;Эксперт Дом;real_estate_agent;sale;"Продаётся уютная 4-х комнатная квартира, находится на 5 этаже 9 этажного дома. Общая площадь — 72,9 кв. м, из которых 50 кв. м приходится на жилую площадь, а 6,8 кв. м — на кухонную зону.
Квартира в отличном состоянии, так что вы сможете сразу заселиться либо сдать в аренду. Окна выходят на солнечную сторону. В квартире имеется вся необходимая мебель для проживания. А так же есть две лоджии. Санузел раздельный.

При продаже остаётся:
- кухонный гарнитур;
- электроплита;
- микроволновка;
- шкаф в прихожей;
- 3 шкафа в жилых комнатах;
- стенка в зале;
- диван в зале;
- двухспальная кровать;
- односпальная кровать в детской;
- стенка в детской комнате;
- письменный стол в детской комнате;
- журнальный столик.
- рабочий стол в комнате.

Район считается тихим и благоприятным для постоянного проживания и характеризуется развитой социальной и транспортной инфраструктурой: в шаговой доступности находятся аптеки,супермаркеты, образовательные учреждения (детские сады и лицей), недалеко расположены остановки общественного транспорта, до метро Золотая Нива 10 минут пешком. Рядом с домом находится гаражный кооператив, услуги автосервиса и автозапчастей.


Данная квартира отличный вариант для большой семьи.
Мы гарантируем безопасность сделки и юридическую поддержку нашим Клиентам. Два взрослых собственника. Без обременений.
Поможем одобрить ипотеку по сниженной ставке.
Не упустите шанс стать владельцем этой уютной квартиры! Звоните нам прямо сейчас, чтобы узнать больше и записаться на просмотр.";Дзержинский;-1;4;9;-1;-1;11;6,8 м²;50 м²;Новосибирск;-1;+79833018659;8500000;;4; Адриена Лежена;72.9;Золотая Нива;https://novosibirsk.cian.ru/sale/flat/324330871/?mlSearchSessionGuid=c26ec136d0c0c474a595d120400e3db6;1980
flat;Домовик;real_estate_agent;sale;"Ваша семья ждет этого места! 4-комнатная квартира для жизни у метро. 
Это предложение — тот самый случай, когда не нужно ждать и мечтать о ремонте когда-нибудь. Здесь уже все готово для вашего комфорта! Представляем просторную 4-комнатную квартиру в одном из самых востребованных районов, где каждая деталь продумана для семейной жизни.

Что делает эту квартиру особенной?

Формула идеальной локации: 8 минут размеренным шагом до метро Золотая Нива — это золотой стандарт городской жизни. Вы всегда на связи с центром, работой и вузом, но при этом живете в тихом, озелененном квартале вдали от шума. Район с полностью сложившейся инфраструктурой: в нескольких минутах ходьбы — детские сады, школы, поликлиника, супермаркеты Лента и Ярче, аптеки и кафе.

Пространство, которое работает на вас: Это не просто 76 м², а продуманная 4-комнатная планировка (площадь без учета лоджий 68.9 м²), где у каждого члена семьи есть личная территория. Родительская спальня, детские, кабинет или комната для гостей — сценарии можно менять. Пятый этаж (с лифтом!) гарантирует отличную инсоляцию и вид на ухоженный, спокойный двор, где приятно выйти на прогулку.

Главное преимущество — готовность! Квартира находится в жилом состоянии. Не нужно вкладывать силы и время в черновые работы, решение бесконечных вопросов с сантехникой и электрикой. Вы видите именно то, что получаете: уютное, обжитое пространство, куда можно заехать с чемоданами. При желании, вы всегда сможете освежить интерьер позже, под свои вкусы, но острая необходимость в этом полностью отсутствует.

Детали, которые решают: В квартире есть удобные лоджии — место для утреннего кофе или хранения сезонных вещей. Дом содержится в порядке, территория благоустроена.

Кому подойдет эта квартира?
Идеальный выбор для практичной семьи, которая ценит свое время и хочет получить комфорт здесь и сейчас. Для тех, кто устал от долгих поездок и ищет стабильную точку в городе с быстрым выходом на метро. Для родителей, которые хотят дать детям удобство и безопасную среду в спальном районе с полным набором необходимой инфраструктуры.

Не теряйте время на поиски — подобные предложения, сочетающие готовность к заселению, удачную планировку и лучшую транспортную доступность района, разбираются очень быстро.

Ваш новый адрес ждет вас. Назначьте просмотр сегодня, чтобы оценить все преимущества лично!";Октябрьский;-1;5;9;-1;-1;202;7 м²;50 м²;Новосибирск;-1;+79139531765;7490000;;4; Бориса Богаткова;76.0;Золотая Нива;https://novosibirsk.cian.ru/sale/flat/324609480/?mlSearchSessionGuid=c26ec136d0c0c474a595d120400e3db6;1972
flat;Брусника;developer;sale;"4-комн. квартира с предчистовой отделкой в ЖК ""Город-на-озере"" на 3 этаже. Общая площадь: 144.39 кв.м. Высота потолков 3.0 м.
  
Дом монолитный, многоподъездный, переменной этажности, от 9 до 24 этажей. Квартира находится в 1-й секции высотой 14 этажей в корпусе 1. На этаже 8 квартир. В подъезде 1 пассажирский и 1 грузовой лифт. Окончание строительства - 4 квартал 2028 года. Оформление сделки по договору долевого участия.
  
Квартира с кухней-гостиной и четырьмя спальнями в проекте Город-на-озере. Особенности планировки: предчистовая отделка, разнесённые спальни.
 квартиры в нашей базе: ГРД01-Ж1.3.5.
  
Город-на-озере находится в Центральном районе Новосибирска, на пересечении Ипподромской магистрали и улицы Фрунзе. По этим крупным транспортным артериям легко добраться в любое место города и на автомобиле, и на общественном транспорте. До ближайших автобусных остановок — 5 минут пешком, а до станции метро ""Березовая Роща"" — 10 минут.
В радиусе 1,5 км вокруг квартала уже сформирована необходимая инфраструктура. Здесь есть детские сады, школы, больницы, аптеки, спортивные клубы, торговые центры с супермаркетами, ресторанами и кинотеатрами.
Для большего комфорта жителей Город-на-озере обеспечат собственной инфраструктурой. В квартале будет свой торговый центр с магазинами и полезными сервисами. Город взял на себя обязательство создать рядом образовательный кластер — два детских сада и две школы.
Особенность квартала — озеро Верховое. Жители района смогут прогуляться по набережной, вокруг водоёма, где будет круговой пешеходный маршрут, с разными зонами отдыха. Кроме того, в пешей доступности от Города-на-озере находятся еще два городских парка: ""Центральный"" и ""Березовая роща"".
  
Город-на-озере — проект комплексного развития территории (КРТ) по принципу многофункциональной застройки, или mixed-use. Это когда на одной территории сочетаются жилая, коммерческая, социальная и рекреационная инфраструктура. К 2032 году здесь появятся разноэтажные жилые дома с приватными дворами, образовательный кластер, деловой центр, торговая улица и общественные пространства, открытые для всех горожан. Люди смогут жить и работать в Городе-на-озере, а в обеденный перерыв совершать променад вокруг озера.
  
Локация квартала уникальна: с одной стороны он соседствует с активным уличным фронтом, а с другой — с тихим и спокойным озером с обильным озеленением. При этом участок неровный, перепад высот достигает 30 метров — это высота восьмиэтажного дома.
Для разработки проекта мы пригласили лучшие архитектурные бюро из Китая: AEDAS и Turenscape. AEDAS специализируются на создании качественных общественных пространств, а Turenscape — на работах с экосистемой водных объектов. Архитекторы учли особенности местности и объединили урбанистический и природный ландшафты. #ZmBC9Z";Дзержинский;Предчистовая;3;14;-1;-1;;-1;-1;Новосибирск;-1;+79587381413;27600000;Город-на-озере ЖК;4;;144.39;Березовая Роща;https://novosibirsk.cian.ru/sale/flat/325308707/?mlSearchSessionGuid=c26ec136d0c0c474a595d120400e3db6;2028
flat;METRAGE;real_estate_agent;sale;"Арт. 27328 Продается квартира на 18 этаже с видом на реку Обь в ЖК Марсель!
 Квартира свободной планировки под самоотделку, что позволяет вам воплотить все ваши мечты в ремонт и сделать ее поистине эксклюзивной.
При необходимости, мы можем предоставить бригаду строителей, которая поможет вам с реализацией ваших идей.

•Дом комфорт-класса с повышенной системой безопасности: охрана, огороженная территория, видеонаблюдение.
•есть детский сад, магазины, аптека, кофейня, ВБ.
•Детские площадки, футбольные и теннисные корты, уличные тренажеры.
•Собственная набережная с прогулочными зонами.
В шаговойдоступности школы, детские сады, поликлиники, магазины. 

Удобная транспортная развязка позволит быстро добраться до любой точки города, а также удобный выезд на основные магистрали города.
Метро ""Речной вокзал"" и ""Михайловская набережная""  в пешей доступности.

Показы по договорённости.
Быстрый выход на сделку. Торг уместен.
.

. Дополнительно оплачивается комиссия с покупателя";Октябрьский;-1;18;18;-1;-1;154;15,3 м²;74,5 м²;Новосибирск;-1;+79833213670;24700000;Марсель;4;2-я Обская ;117.1;Спортивная;https://novosibirsk.cian.ru/sale/flat/324805505/?mlSearchSessionGuid=c26ec136d0c0c474a595d120400e3db6;-1
flat;ЖИЛФОНД;real_estate_agent;sale;"Чистенькая, уютная, очень теплая 4-комнатная квартира для большой и дружной семьи в одном из самых комфортных для проживания районов города! Все окна выходят ВО ДВОР на детскую площадку! Идеальный этаж!
 
Удобная планировка: 2 одинаковые по размеру детские, зал и взрослая комната, 2 вместительные застекленные лоджии!

В шаговой доступности: несколько дет садов, школ, магазины, супермаркеты, аптеки, банки, поликлиника. Хорошая транспортная развязка. Станция метро ""Гагаринская"" в 10 минутах ходьбы.
ЧИСТАЯ ПРОДАЖА!
	
	

Рядом с объектом находятся:

2 школы,
12 детских садов,
18 продуктовых магазинов,
3 спортивных учреждения,
1 гимназия,
2 лицея,
1 колледж.

 

	Возможен обмен на вашу недвижимость. Возможна продажа в рассрочку.
	
	Комплексная услуга для покупателя с полной финансовой ответственностью агентства
	При звонке, пожалуйста, сообщите номер варианта - 
       JV004054104195

	Дополнительно оплачивается комиссия с покупателя.

	Пожалуйста, дождитесь ответа специалиста при звонке. 
	Время дозвона до владельца объявления увеличено из-за использования подменных номеров на сайте Циан.";Заельцовский;-1;4;9;-1;-1;127;7 м²;52,5 м²;Новосибирск;-1;+79024243938;6750000;;4; Кропоткина;71.8;Гагаринская;https://novosibirsk.cian.ru/sale/flat/314199442/?mlSearchSessionGuid=c26ec136d0c0c474a595d120400e3db6;1973
flat;СМСС;developer;sale;"Продаётся 4-комнатная квартира в строящемся доме (Секция 1.3), срок сдачи: II-кв. 2028, общей площадью 99.7 кв.м., на 22 этаже. Новый жилой комплекс ""Паскаль"" от Группы компаний ""Сибмонтажспецстрой"" расположен в Октябрьском районе Новосибирска на ул. 4-я Кирпичная Горка.";Октябрьский;Черновая;22;23;-1;-1;;-1;-1;Новосибирск;-1;+79942525223;18743600;Паскаль;4;Закаменский мкр;99.7;Золотая Нива;https://novosibirsk.cian.ru/sale/flat/325989652/?mlSearchSessionGuid=c26ec136d0c0c474a595d120400e3db6;2028
